Jack,Powell,jpowell0@hplussport.com,Lynchburg,Virginia
Emily,Garcia,egarcia1@hplussport.com,Manchester,New Hampshire
Richard,Dean,rdean2@hplussport.com,Houston,Texas
Jane,Porter,jporter3@hplussport.com,Alexandria,Virginia
Robin,Vasquez,rvasquez4@hplussport.com,El Paso,Texas
Douglas,Flores,dflores5@hplussport.com,Houston,Texas
Craig,Johnston,cjohnston6@hplussport.com,Las Cruces,New Mexico
Norma,Johnson,njohnson7@hplussport.com,Amarillo,Texas
Kathryn,Bishop,kbishop8@hplussport.com,Roanoke,Virginia
Joe,Stewart,jstewart9@hplussport.com,Mesquite,Texas
Dennis,Price,dpricea@hplussport.com,Lynn,Massachusetts
Jason,Reid,jreidb@hplussport.com,Garland,Texas
Randy,Gomez,rgomezc@hplussport.com,Wichita,Kansas
Jerry,George,jgeorged@hplussport.com,Phoenix,Arizona
Jane,Larson,jlarsone@hplussport.com,Seattle,Washington
Joyce,Carr,jcarrf@hplussport.com,Bloomington,Indiana
James,Ortiz,jortizg@hplussport.com,Oklahoma City,Oklahoma
Jimmy,Fowler,jfowlerh@hplussport.com,Jacksonville,Florida
Benjamin,Sims,bsimsi@hplussport.com,Louisville,Kentucky
Jack,Wagner,jwagnerj@hplussport.com,Monticello,Minnesota
Sharon,Evans,sevansk@hplussport.com,Springfield,Illinois
Tina,Mccoy,tmccoyl@hplussport.com,San Jose,California
Joan,Ruiz,jruizm@hplussport.com,Fort Myers,Florida
Sara,Cox,scoxn@hplussport.com,Oklahoma City,Oklahoma
Jessica,Alvarez,jalvarezo@hplussport.com,Akron,Ohio
Amanda,Butler,abutlerp@hplussport.com,Minneapolis,Minnesota
Louis,Gonzales,lgonzalesq@hplussport.com,El Paso,Texas
Victor,Moore,vmoorer@hplussport.com,New York City,New York
Harold,Lawson,hlawsons@hplussport.com,Raleigh,North Carolina
Carlos,James,cjamest@hplussport.com,Visalia,California
Edward,Kelley,ekelleyu@hplussport.com,Flint,Michigan
Gregory,Wells,gwellsv@hplussport.com,Kingsport,Tennessee
Shirley,Carpenter,scarpenterw@hplussport.com,Van Nuys,California
Virginia,Fowler,vfowlerx@hplussport.com,Salt Lake City,Utah
Janet,Harvey,jharveyy@hplussport.com,Anderson,Indiana
Diana,Parker,dparkerz@hplussport.com,Montgomery,Alabama
Sara,Simpson,ssimpson10@hplussport.com,Tampa,Florida
Stephen,Duncan,sduncan11@hplussport.com,Denver,Colorado
Daniel,Myers,dmyers12@hplussport.com,Tallahassee,Florida
Beverly,Hamilton,bhamilton13@hplussport.com,Memphis,Tennessee
Tina,Holmes,tholmes14@hplussport.com,Seattle,Washington
Bobby,Garcia,bgarcia15@hplussport.com,Norfolk,Virginia
Wanda,Bennett,wbennett16@hplussport.com,Warren,Ohio
Steven,Johnson,sjohnson17@hplussport.com,Monticello,Minnesota
Marie,Hall,mhall18@hplussport.com,Canton,Ohio
Wanda,Evans,wevans19@hplussport.com,Dallas,Texas
Nancy,Wagner,nwagner1a@hplussport.com,Waterbury,Connecticut
Roger,Sullivan,rsullivan1b@hplussport.com,Birmingham,Alabama
Dorothy,Boyd,dboyd1c@hplussport.com,Kansas City,Kansas
Walter,Rivera,wrivera1d@hplussport.com,San Antonio,Texas
Teresa,Riley,triley1e@hplussport.com,Saint Paul,Minnesota
